title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,locality_avg_price_per_sqft,distance_to_city_center,distance_to_nearest_transit
Octave Parijas Horizon,6600283,757,8719.0,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.24440956,73.12325287,7719.080656201294,31.256860721873693,15.53549099385051
Shakti Siyara Heights,6169841,652,9462.946319018403,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2572937,73.14887238,7719.080656201294,33.94734052204871,18.224939700447838
Bhagwati Bhagwati Celeste,4599936,396,11616.0,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.20902634,73.08127594,8695.406844172781,26.848829756611746,11.128780403393783
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,51980000,1130,46000.0,Ville Parle,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.09784126,72.85115814,32175.764235631566,2.6761296089816082,0.4598616950035943
J P Ruchita Bliss,3915000,435,9000.0,Nala Sopara,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.42060089,72.80931854,7349.523335617902,1.9347507613687775,2.02896793402726
Saras Destiny,4900320,720,6806.0,Ulwe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.96756172,73.02495575,9409.086176283141,20.94222694764115,5.235403201619395
Nexus Ratan Heritage,14000000,652,21472.39263803681,Jogeshwari,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.13776207,72.86013031,23019.519935055843,3.6219527339455513,0.40288037814322275
Aristocrat Guruprasad Divine Residency,16400255,565,29027.0,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.0322113,72.89522552,24174.11443543407,7.299866973981048,1.130013683014825
9 PBR 9 PBR,74998440,1770,42372.0,Nerul,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.00825882,73.01303101,23605.69583376626,19.685976092519148,3.9795559873025974
Prestige Bellanza Phase 2 Wing D E F At The Prestige City,65900000,2600,25346.153846153848,Mulund,Mumbai,Apartment,4,5,0,Unfurnished,0,1,19.18447304,72.94075775,22725.13606971763,12.087309970235827,3.4360507775922
Konark Darshan,3000000,590,5084.745762711865,Nallasopara W,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.41750526,72.81793976,5413.128312656532,1.1911374739008238,1.2948199061015577
Mahaavir Mannat,19000000,1685,11275.964391691394,Ulwe,Mumbai,Apartment,3,3,0,Unfurnished,9,1,18.97142792,73.01415253,9409.086176283141,19.805981052795083,4.104051808951717
Octave Parijas Horizon,4350192,484,8988.0,Kalyan,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.24440956,73.12325287,7719.080656201294,31.256860721873693,15.53549099385051
Shakti Siyara Heights,7564352,801,9443.6354556804,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2572937,73.14887238,7719.080656201294,33.94734052204871,18.224939700447838
Bhagwati Bhagwati Celeste,4799800,412,11650.0,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.20902634,73.08127594,8695.406844172781,26.848829756611746,11.128780403393783
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,41007620,891,46024.26487093154,Ville Parle,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.09784126,72.85115814,32175.764235631566,2.6761296089816082,0.4598616950035943
J P Ruchita Bliss,3510000,390,9000.0,Nala Sopara,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.42060089,72.80931854,7349.523335617902,1.9347507613687775,2.02896793402726
